"","A","B","C"
"1499",0,0,1
"1500",0,1,1
"1501",0,1,1
"1502",1,1,1
"1503",1,1,0
"1504",1,0,1
"1505",1,1,1
"1506",0,0,0
"1507",1,0,1
"1508",1,1,1
"1509",1,0,1
"1510",1,1,1
"1511",1,1,1
"1512",1,1,1
"1513",1,1,1
"1514",0,1,1
"1515",1,0,1
"1516",0,1,0
"1517",1,0,0
"1518",1,1,1
"1519",0,0,0
"1520",0,0,0
"1521",1,1,1
"1522",1,1,1
"1523",0,0,0
"1524",1,1,1
"1525",1,1,1
"1526",1,1,1
"1527",0,0,0
"1528",0,0,0
"1529",1,0,0
"1530",1,1,1
"1531",0,0,0
"1532",1,0,0
"1533",0,0,0
"1534",0,0,0
"1535",1,1,1
"1536",1,1,1
"1537",0,0,0
"1538",0,0,0
"1539",1,1,1
"1540",0,0,0
"1541",1,1,1
"1542",1,0,1
"1543",0,1,1
"1544",1,1,1
"1545",1,1,1
"1546",1,0,1
"1547",1,0,1
"1548",1,1,1
"1549",0,0,0
"1550",1,1,1
"1551",1,1,1
"1552",1,1,1
"1553",1,1,1
"1554",0,0,0
"1555",1,1,1
"1556",0,1,0
"1557",1,1,1
"1558",1,1,1
"1559",0,0,0
"1560",0,0,0
"1561",1,0,1
"1562",1,1,0
"1563",1,1,1
"1564",0,0,0
"1565",1,1,1
"1566",0,0,0
"1567",0,1,1
"1568",1,0,1
"1569",0,0,0
"1570",0,1,1
"1571",1,1,1
"1572",0,1,1
"1573",1,1,1
"1574",0,0,0
"1575",1,1,1
"1576",1,1,1
"1577",0,0,0
"1578",1,1,1
"1579",0,0,0
"1580",0,1,0
"1581",1,1,1
"1582",0,1,1
"1583",1,1,1
"1584",1,1,1
"1585",0,0,0
"1586",1,1,1
"1587",1,1,1
"1588",0,0,1
"1589",1,1,1
"1590",1,0,1
"1591",1,1,1
"1592",1,1,1
"1593",1,1,1
"1594",1,0,1
"1595",1,1,1
"1596",1,1,1
"1597",0,1,1
"1598",0,1,1
"1599",1,1,1
"1600",1,1,1
"1601",1,0,0
"1602",0,0,1
"1603",1,1,1
"1604",1,1,1
"1605",0,1,1
"1606",1,1,1
"1607",1,1,1
"1608",1,1,1
"1609",1,1,1
"1610",1,1,1
"1611",0,0,0
"1612",0,0,0
"1613",0,0,0
"1614",0,1,0
"1615",0,0,0
"1616",1,1,1
"1617",0,1,1
"1618",1,1,1
"1619",1,1,1
"1620",1,1,1
"1621",1,1,1
"1622",0,0,0
"1623",0,0,0
"1624",1,1,1
"1625",1,1,1
"1626",0,1,1
"1627",1,1,1
"1628",1,1,1
"1629",1,1,1
"1630",1,0,0
"1631",0,1,1
"1632",0,1,1
"1633",0,1,1
"1634",0,0,0
"1635",0,0,0
"1636",0,1,1
"1637",1,0,1
"1638",0,0,0
"1639",1,1,1
"1640",1,1,1
"1641",1,1,1
"1642",1,0,0
"1643",1,1,1
"1644",0,1,0
"1645",0,0,0
"1646",1,1,1
"1647",1,0,1
"1648",1,1,1
"1649",1,0,1
"1650",1,1,1
"1651",0,1,1
"1652",1,1,1
"1653",0,0,0
"1654",0,1,1
"1655",0,0,0
"1656",0,1,0
"1657",0,0,0
"1658",1,0,1
"1659",0,1,1
"1660",0,0,0
"1661",1,0,1
"1662",1,1,1
"1663",1,0,1
"1664",1,1,1
"1665",0,1,0
"1666",1,0,1
"1667",0,1,1
"1668",1,0,0
"1669",1,0,1
"1670",0,0,0
"1671",0,1,0
"1672",0,0,0
"1673",1,1,1
"1674",1,1,1
"1675",1,1,1
"1676",1,1,1
"1677",0,0,0
"1678",0,1,1
"1679",1,1,1
"1680",0,1,1
"1681",1,1,1
"1682",0,1,0
"1683",1,1,1
"1684",1,1,1
"1685",0,0,0
"1686",1,1,0
"1687",1,1,1
"1688",1,1,1
"1689",1,1,1
"1690",1,1,1
"1691",1,1,1
"1692",1,1,1
"1693",0,1,1
"1694",1,1,1
"1695",1,0,1
"1696",0,0,0
"1697",1,0,1
"1698",1,1,1
"1699",1,1,1
"1700",0,0,0
"1701",0,1,1
"1702",1,1,1
"1703",1,1,1
"1704",1,1,1
"1705",0,1,1
"1706",0,1,1
"1707",1,0,1
"1708",0,0,0
"1709",0,0,0
"1710",0,1,1
"1711",1,1,1
"1712",1,1,1
"1713",1,0,1
"1714",0,0,0
"1715",1,1,1
"1716",0,0,0
"1717",0,1,1
"1718",0,0,0
"1719",1,0,1
"1720",0,0,0
"1721",1,1,1
"1722",1,1,1
"1723",0,0,1
"1724",0,1,0
"1725",1,1,1
"1726",1,1,1
"1727",1,1,1
"1728",0,1,1
"1729",1,1,1
"1730",0,1,1
"1731",1,1,1
"1732",0,0,0
"1733",0,1,1
"1734",1,1,1
"1735",1,0,1
"1736",1,1,1
"1737",1,1,1
"1738",1,0,1
"1739",0,1,0
"1740",1,1,1
"1741",0,0,0
"1742",1,1,1
"1743",0,0,0
"1744",1,1,1
"1745",1,0,1
"1746",1,0,0
"1747",1,1,1
"1748",1,1,1
"1749",0,0,0
"1750",1,0,1
"1751",0,0,0
"1752",0,1,1
"1753",1,1,1
"1754",1,1,1
"1755",1,1,1
"1756",0,1,1
"1757",0,1,1
"1758",1,0,0
"1759",1,1,1
"1760",0,0,0
"1761",1,1,1
"1762",1,1,1
"1763",1,1,1
"1764",1,0,1
"1765",1,1,1
"1766",0,1,0
"1767",1,1,1
"1768",1,1,1
"1769",1,1,1
"1770",1,1,1
"1771",0,0,1
"1772",0,0,0
"1773",1,1,1
"1774",1,0,0
"1775",1,1,1
"1776",0,0,0
"1777",1,1,1
"1778",1,0,1
"1779",1,1,1
"1780",1,1,1
"1781",1,1,1
"1782",1,1,1
"1783",1,1,1
"1784",1,1,1
"1785",1,1,1
"1786",1,1,1
"1787",1,0,1
"1788",0,0,0
"1789",1,0,1
"1790",1,0,0
"1791",1,1,1
"1792",1,0,1
"1793",1,1,1
"1794",0,1,0
"1795",1,1,1
"1796",0,0,0
"1797",1,0,1
"1798",1,1,1
"1799",1,1,1
"1800",0,1,1
"1801",1,1,1
"1802",1,1,1
"1803",1,1,1
"1804",1,1,0
"1805",1,0,1
"1806",1,1,1
"1807",1,1,1
"1808",1,1,1
"1809",1,0,1
"1810",1,0,1
"1811",1,1,1
"1812",1,1,1
"1813",1,1,1
"1814",0,0,0
"1815",0,1,1
"1816",1,1,1
"1817",0,0,0
"1818",1,0,0
"1819",0,1,0
"1820",1,1,1
"1821",1,1,1
"1822",0,0,0
"1823",0,1,1
"1824",1,1,1
"1825",1,1,1
"1826",1,1,1
"1827",0,0,0
"1828",1,1,1
"1829",1,1,1
"1830",1,0,1
"1831",0,1,0
"1832",1,1,1
"1833",0,1,1
"1834",1,0,1
"1835",0,1,1
"1836",1,1,1
"1837",0,0,0
"1838",1,1,1
"1839",0,1,0
"1840",1,0,1
"1841",0,0,0
"1842",1,1,1
"1843",0,1,1
"1844",0,1,1
"1845",1,1,1
"1846",1,1,1
"1847",1,1,1
"1848",0,1,1
"1849",0,0,0
"1850",1,1,1
"1851",0,1,0
"1852",0,1,1
"1853",0,1,1
"1854",1,1,1
"1855",0,1,1
"1856",0,0,0
"1857",1,1,1
"1858",1,1,1
"1859",1,1,1
"1860",1,0,1
"1861",0,1,0
"1862",0,1,0
"1863",1,1,1
"1864",1,1,1
"1865",1,1,1
"1866",1,1,1
"1867",1,1,1
"1868",0,1,1
"1869",0,1,1
"1870",1,1,1
"1871",0,1,1
"1872",1,1,1
"1873",0,0,0
"1874",0,0,0
"1875",1,1,0
"1876",0,0,0
"1877",1,0,0
"1878",0,1,0
"1879",1,1,1
"1880",1,1,1
"1881",1,0,1
"1882",1,0,1
"1883",0,0,0
"1884",0,0,0
"1885",1,0,1
"1886",1,1,1
"1887",1,1,1
"1888",0,1,1
"1889",1,1,1
"1890",1,0,0
"1891",1,1,1
"1892",1,1,1
"1893",1,1,1
"1894",1,1,1
"1895",0,0,0
"1896",1,0,1
"1897",0,1,1
"1898",1,1,1
"1899",1,1,1
"1900",1,1,1
"1901",1,1,1
"1902",0,1,1
"1903",1,0,1
"1904",1,1,1
"1905",1,1,1
"1906",1,1,1
"1907",1,1,1
"1908",0,1,1
"1909",0,0,0
"1910",0,1,1
"1911",1,1,1
"1912",1,1,1
"1913",1,0,1
"1914",1,1,1
"1915",0,0,0
"1916",0,0,0
"1917",0,0,0
"1918",1,1,1
"1919",1,0,1
"1920",0,0,0
"1921",1,1,1
"1922",1,1,1
"1923",0,1,0
"1924",1,1,1
"1925",1,1,1
"1926",1,1,1
"1927",1,1,1
"1928",1,1,1
"1929",1,0,0
"1930",1,1,1
"1931",1,0,0
"1932",1,0,1
"1933",0,0,1
"1934",1,1,1
"1935",1,0,1
"1936",1,0,0
"1937",1,1,1
"1938",0,0,0
"1939",1,1,1
"1940",1,1,1
"1941",0,1,1
"1942",1,1,1
"1943",1,1,1
"1944",1,0,1
"1945",1,1,1
"1946",1,1,1
"1947",1,1,1
"1948",1,1,1
"1949",1,1,1
"1950",0,1,1
"1951",1,1,1
"1952",1,1,1
"1953",0,0,0
"1954",1,1,1
"1955",1,1,1
"1956",0,1,1
"1957",1,1,1
"1958",1,0,1
"1959",1,0,1
"1960",1,1,1
"1961",1,0,1
"1962",1,1,1
"1963",0,0,0
"1964",0,0,0
"1965",0,1,1
"1966",1,1,1
"1967",1,1,1
"1968",0,0,0
"1969",1,1,1
"1970",1,1,1
"1971",1,1,1
"1972",1,0,1
"1973",0,1,1
"1974",1,1,1
"1975",0,1,0
"1976",0,0,0
"1977",0,0,0
"1978",0,1,1
"1979",1,1,1
"1980",0,0,0
"1981",1,1,1
"1982",0,0,1
"1983",0,0,0
"1984",1,1,1
"1985",1,1,1
"1986",1,1,1
"1987",1,1,1
"1988",1,1,1
"1989",1,0,1
"1990",1,1,1
"1991",0,1,1
"1992",1,1,1
"1993",0,1,0
"1994",1,1,1
"1995",1,1,1
"1996",1,1,1
"1997",0,1,1
"1998",1,1,1
"1999",1,1,1
"2000",1,0,1
"2001",1,1,1
"2002",0,1,0
"2003",0,0,0
"2004",0,1,1
"2005",1,1,1
"2006",1,0,1
"2007",0,1,1
"2008",1,0,1
"2009",0,1,1
"2010",0,1,1
"2011",1,0,1
"2012",1,1,1
"2013",1,0,1
"2014",1,1,1
"2015",1,0,0
"2016",1,1,1
"2017",1,0,1
"2018",1,1,1
"2019",0,0,0
"2020",1,0,0
"2021",0,1,0
"2022",1,1,1
"2023",0,0,0
"2024",0,0,0
"2025",0,0,1
"2026",0,0,0
"2027",1,1,1
"2028",1,0,0
"2029",1,1,1
"2030",0,1,1
"2031",1,1,1
"2032",1,1,1
"2033",1,1,1
"2034",1,1,1
"2035",0,1,1
"2036",1,1,1
"2037",1,0,0
"2038",1,1,1
"2039",0,0,0
"2040",1,1,1
"2041",1,0,1
"2042",1,1,1
"2043",1,0,1
"2044",1,0,1
"2045",0,0,0
"2046",0,0,0
"2047",1,0,0
"2048",1,1,1
"2049",0,1,0
"2050",1,1,1
"2051",1,0,1
"2052",0,0,1
"2053",1,1,1
"2054",1,1,1
"2055",0,0,0
"2056",1,1,1
"2057",1,1,1
"2058",1,1,1
"2059",0,1,0
"2060",1,1,1
"2061",0,0,0
"2062",0,1,1
"2063",1,0,1
"2064",1,1,1
"2065",1,1,1
"2066",1,1,1
"2067",1,1,1
"2068",1,0,0
"2069",1,1,1
"2070",0,0,1
"2071",1,0,1
"2072",1,1,1
"2073",1,1,1
"2074",0,1,0
"2075",0,0,0
"2076",1,1,1
"2077",1,1,1
"2078",1,1,1
"2079",0,1,1
"2080",0,1,1
"2081",1,1,1
"2082",0,0,0
"2083",1,0,1
"2084",1,1,1
"2085",1,0,1
"2086",1,1,1
"2087",0,1,1
"2088",1,1,1
"2089",0,1,1
"2090",1,1,1
"2091",0,0,0
"2092",1,0,1
"2093",1,1,1
"2094",1,1,1
"2095",1,0,1
"2096",1,1,1
"2097",1,1,1
"2098",1,0,0
"2099",1,1,1
"2100",1,0,0
"2101",1,1,1
"2102",1,1,1
"2103",1,1,1
"2104",0,1,0
"2105",1,1,1
"2106",1,1,1
"2107",1,0,1
"2108",1,1,1
"2109",1,1,1
"2110",1,0,1
"2111",1,1,1
"2112",0,1,1
"2113",1,0,1
"2114",1,1,1
"2115",0,1,1
"2116",0,1,1
"2117",0,1,0
"2118",0,0,0
"2119",1,1,1
"2120",0,1,1
"2121",1,0,1
"2122",1,1,1
"2123",1,1,1
"2124",0,1,1
"2125",1,1,1
"2126",1,1,1
"2127",0,0,0
"2128",0,0,0
"2129",1,1,1
"2130",1,1,1
"2131",0,0,0
"2132",1,1,1
"2133",1,1,1
"2134",1,0,1
"2135",0,1,0
"2136",0,0,0
"2137",1,1,1
"2138",1,1,1
"2139",0,0,0
"2140",1,0,0
"2141",1,1,1
"2142",1,1,1
"2143",1,1,1
"2144",1,1,1
"2145",0,0,0
"2146",1,1,1
"2147",1,1,0
"2148",0,0,0
"2149",0,0,0
"2150",0,1,1
"2151",1,0,1
"2152",1,1,1
"2153",1,0,0
"2154",0,0,0
"2155",1,1,1
"2156",1,1,1
"2157",1,0,1
"2158",0,0,1
"2159",1,1,1
"2160",1,1,1
"2161",1,1,1
"2162",1,1,1
"2163",0,1,0
"2164",1,1,1
"2165",0,1,1
"2166",0,0,1
"2167",0,1,0
"2168",0,0,0
"2169",0,0,0
"2170",0,1,1
"2171",1,0,1
"2172",0,0,0
"2173",1,1,1
"2174",1,1,1
"2175",0,0,0
"2176",1,1,1
"2177",0,0,0
"2178",1,1,1
"2179",0,0,0
"2180",1,0,0
"2181",0,1,0
"2182",1,1,1
"2183",1,1,1
"2184",1,0,1
"2185",0,1,1
"2186",1,1,1
"2187",1,1,1
"2188",1,1,1
"2189",1,1,1
"2190",0,0,0
"2191",1,1,1
"2192",1,1,1
"2193",1,1,1
"2194",1,1,1
"2195",1,1,1
"2196",1,0,1
"2197",1,1,1
"2198",0,0,0
"2199",1,1,1
"2200",0,0,0
"2201",1,0,1
"2202",1,1,1
"2203",1,1,1
"2204",0,0,0
"2205",1,1,1
"2206",1,1,1
"2207",1,1,1
"2208",0,1,0
"2209",0,1,1
"2210",0,1,0
"2211",0,1,1
"2212",0,1,1
"2213",1,1,1
"2214",0,1,1
"2215",1,0,1
"2216",1,1,1
"2217",0,0,0
"2218",0,0,0
"2219",0,1,0
"2220",1,1,1
"2221",0,0,0
"2222",0,0,0
"2223",0,0,0
"2224",1,1,1
"2225",1,1,1
"2226",0,0,0
"2227",1,1,1
"2228",1,1,1
"2229",0,1,1
"2230",1,1,1
"2231",1,1,1
"2232",1,1,1
"2233",1,1,1
"2234",0,1,1
"2235",1,0,1
"2236",1,1,1
"2237",0,0,0
"2238",1,1,1
"2239",0,0,0
"2240",0,0,0
"2241",0,1,1
"2242",0,0,0
"2243",0,1,1
"2244",0,1,1
"2245",1,1,1
"2246",0,1,1
"2247",1,0,1
"2248",0,0,0
"2249",1,0,1
"2250",0,0,0
"2251",1,0,0
"2252",0,0,0
"2253",1,0,1
"2254",1,0,1
"2255",0,0,0
"2256",1,1,1
"2257",1,1,1
"2258",1,1,1
"2259",1,1,1
"2260",1,1,1
"2261",1,1,1
"2262",1,0,1
"2263",1,1,1
"2264",1,1,1
"2265",0,1,1
"2266",1,1,1
"2267",1,0,1
"2268",0,0,0
"2269",1,1,1
"2270",1,0,0
"2271",1,0,0
"2272",1,1,1
"2273",0,0,1
"2274",0,0,0
"2275",0,1,0
"2276",1,1,1
"2277",1,1,1
"2278",1,1,1
"2279",1,0,1
"2280",1,1,1
"2281",0,0,0
"2282",0,0,0
"2283",1,1,1
"2284",1,1,1
"2285",0,1,1
"2286",1,0,1
"2287",1,1,1
"2288",1,1,1
"2289",1,0,1
"2290",1,1,1
"2291",1,0,1
"2292",1,1,1
"2293",0,1,1
"2294",0,1,1
"2295",0,0,0
"2296",1,0,1
"2297",1,1,1
"2298",0,0,0
"2299",1,0,0
"2300",1,0,1
"2301",1,0,1
"2302",1,1,1
"2303",1,1,1
"2304",1,0,0
"2305",1,0,1
"2306",1,1,1
"2307",1,1,1
"2308",0,0,0
"2309",1,1,1
"2310",1,0,0
"2311",1,1,1
"2312",1,1,1
"2313",1,1,1
"2314",1,1,1
"2315",0,0,0
"2316",1,1,1
"2317",1,1,1
"2318",0,1,1
"2319",1,0,0
"2320",0,1,0
"2321",0,0,0
"2322",0,0,0
"2323",1,1,1
"2324",0,0,0
"2325",0,0,0
"2326",0,0,0
"2327",0,0,0
"2328",1,1,1
"2329",0,0,0
"2330",1,1,1
"2331",1,1,1
"2332",0,0,0
"2333",0,0,0
"2334",0,0,0
"2335",1,1,1
"2336",1,1,1
"2337",1,1,1
"2338",0,1,1
"2339",1,1,1
"2340",0,1,0
"2341",1,1,1
"2342",1,1,1
"2343",1,1,1
"2344",0,0,0
"2345",1,0,1
"2346",1,1,1
"2347",1,1,1
"2348",0,1,0
"2349",0,0,0
"2350",0,0,0
"2351",0,1,1
"2352",0,1,1
"2353",0,1,1
"2354",0,1,0
"2355",0,1,0
"2356",1,1,1
"2357",0,0,0
"2358",1,1,1
"2359",0,0,0
"2360",0,1,1
"2361",1,1,1
"2362",0,0,0
"2363",0,0,0
"2364",0,0,0
"2365",0,0,1
"2366",1,1,1
"2367",0,1,1
"2368",0,0,0
"2369",1,1,1
"2370",0,1,1
"2371",0,1,1
"2372",1,0,0
"2373",1,1,1
"2374",0,1,1
"2375",1,1,1
"2376",0,0,0
"2377",0,0,0
"2378",0,1,1
"2379",1,0,0
"2380",0,0,0
"2381",1,1,1
"2382",1,1,1
"2383",1,1,1
"2384",0,0,0
"2385",0,1,1
"2386",1,1,1
"2387",0,0,0
"2388",0,1,1
"2389",0,0,1
"2390",1,0,1
"2391",0,0,0
"2392",0,0,1
"2393",1,1,1
"2394",0,1,1
"2395",1,0,0
"2396",1,1,1
"2397",1,1,1
"2398",1,1,1
"2399",1,1,1
"2400",1,1,1
"2401",1,1,1
"2402",1,1,1
"2403",1,1,1
"2404",1,1,1
"2405",1,1,1
"2406",0,1,1
"2407",0,1,1
"2408",1,1,1
"2409",0,0,0
"2410",1,0,0
"2411",1,1,1
"2412",1,1,1
"2413",1,1,1
"2414",1,1,1
"2415",0,0,0
"2416",1,0,1
"2417",1,0,1
"2418",1,0,0
"2419",1,0,1
"2420",1,1,0
"2421",1,1,1
"2422",1,0,1
"2423",1,1,1
"2424",1,1,1
"2425",1,1,1
"2426",1,1,1
"2427",0,0,0
"2428",1,1,1
"2429",0,0,0
"2430",1,1,1
"2431",1,1,1
"2432",0,0,0
"2433",1,1,1
"2434",1,0,0
"2435",0,0,0
"2436",0,0,0
"2437",1,1,1
"2438",1,1,1
"2439",0,0,0
"2440",0,1,1
"2441",0,1,1
"2442",1,1,1
"2443",1,0,1
"2444",0,1,0
"2445",0,1,1
"2446",1,1,1
"2447",1,0,0
"2448",0,0,0
"2449",0,0,0
"2450",1,1,1
"2451",1,1,1
"2452",0,0,0
"2453",0,1,1
"2454",1,1,1
"2455",1,1,1
"2456",1,0,0
"2457",0,0,0
"2458",0,1,1
"2459",1,1,1
"2460",1,1,1
"2461",1,1,1
"2462",0,1,0
"2463",1,1,1
"2464",1,1,1
"2465",1,1,1
"2466",1,1,1
"2467",1,0,0
"2468",1,1,1
"2469",0,1,1
"2470",1,1,1
"2471",0,0,0
"2472",1,1,1
"2473",0,1,1
"2474",0,0,0
"2475",1,1,1
"2476",1,0,1
"2477",0,0,1
"2478",1,0,0
"2479",0,1,1
"2480",1,0,1
"2481",1,0,1
"2482",0,1,1
"2483",1,1,1
"2484",0,1,0
"2485",1,1,1
"2486",1,1,1
"2487",1,0,1
"2488",0,0,0
"2489",1,0,1
"2490",1,1,1
"2491",1,1,1
"2492",1,1,1
"2493",0,1,1
"2494",1,1,1
"2495",1,1,1
"2496",1,0,1
"2497",0,0,1
"2498",0,0,0
"2499",1,1,1
"2500",0,1,0
"2501",0,0,0
"2502",0,0,0
"2503",1,0,1
"2504",0,0,1
"2505",1,1,1
"2506",0,1,0
"2507",1,1,1
"2508",1,1,1
"2509",1,1,1
"2510",1,0,1
"2511",0,0,0
"2512",1,1,1
"2513",1,0,1
"2514",0,0,0
"2515",1,1,1
"2516",1,0,1
"2517",0,0,0
"2518",0,1,1
"2519",0,0,0
"2520",1,1,1
"2521",1,1,1
"2522",0,0,0
"2523",1,1,1
"2524",0,0,1
"2525",0,0,0
"2526",0,0,1
"2527",1,1,1
"2528",0,1,1
"2529",1,0,1
"2530",0,1,0
"2531",1,1,1
"2532",1,1,1
"2533",1,0,1
"2534",1,1,1
"2535",0,0,0
"2536",1,0,1
"2537",1,1,1
"2538",1,1,1
"2539",1,1,1
"2540",0,0,0
"2541",0,1,1
"2542",1,0,1
"2543",0,1,1
"2544",1,1,1
"2545",1,1,1
"2546",1,1,1
"2547",1,0,1
"2548",1,0,1
"2549",1,0,1
"2550",1,1,1
"2551",1,1,1
"2552",1,0,0
"2553",0,0,1
"2554",1,1,1
"2555",1,1,1
"2556",1,1,1
"2557",1,0,0
"2558",0,0,0
"2559",1,0,1
"2560",1,1,1
"2561",0,0,0
"2562",0,0,0
"2563",1,1,1
"2564",1,1,1
"2565",1,1,1
"2566",0,1,0
"2567",0,0,0
"2568",1,1,1
"2569",1,1,1
"2570",0,1,0
"2571",1,0,1
"2572",1,1,1
"2573",1,1,1
"2574",1,0,1
"2575",1,1,1
"2576",1,1,1
"2577",1,1,1
"2578",1,1,1
"2579",1,1,1
"2580",0,0,0
"2581",1,1,1
"2582",0,1,1
"2583",0,0,0
"2584",1,1,1
"2585",1,1,1
"2586",0,0,0
"2587",0,0,1
"2588",0,0,0
"2589",0,1,0
"2590",0,0,0
"2591",0,0,0
"2592",1,0,1
"2593",1,1,1
"2594",1,1,1
"2595",1,1,1
"2596",0,0,0
"2597",1,1,1
"2598",0,0,0
"2599",1,0,0
"2600",0,1,0
"2601",0,1,1
"2602",1,1,1
"2603",1,1,1
"2604",0,0,0
"2605",0,0,1
"2606",1,1,1
"2607",1,1,1
"2608",1,1,1
"2609",1,1,1
"2610",0,0,0
"2611",0,0,0
"2612",0,1,0
"2613",1,0,1
"2614",1,1,1
"2615",1,0,1
"2616",1,0,0
"2617",0,0,0
"2618",1,1,1
"2619",1,0,1
"2620",0,0,0
"2621",1,1,1
"2622",1,1,1
"2623",0,1,1
"2624",1,1,1
"2625",1,1,1
"2626",1,1,1
"2627",0,0,0
"2628",1,0,1
"2629",0,0,0
"2630",0,0,0
"2631",0,0,0
"2632",1,0,0
"2633",1,1,1
"2634",1,1,1
"2635",1,0,1
"2636",1,1,1
"2637",1,1,1
"2638",1,1,1
"2639",0,1,0
"2640",1,1,1
"2641",0,0,0
"2642",1,1,1
"2643",0,0,0
"2644",0,0,0
"2645",1,0,1
"2646",1,1,1
"2647",0,0,0
"2648",0,0,1
"2649",1,1,1
"2650",1,0,0
"2651",1,1,1
"2652",1,0,1
"2653",1,1,1
"2654",1,1,1
"2655",0,0,0
"2656",1,1,1
"2657",1,1,1
"2658",1,0,0
"2659",0,0,0
"2660",0,1,1
"2661",0,1,1
"2662",0,0,1
"2663",0,0,0
"2664",0,1,1
"2665",1,0,1
"2666",0,0,1
"2667",1,1,1
"2668",0,0,0
"2669",0,1,0
"2670",1,1,1
"2671",1,1,1
"2672",0,0,0
"2673",1,1,1
"2674",0,1,1
"2675",1,0,1
"2676",0,1,0
"2677",1,1,1
"2678",1,1,1
"2679",0,0,0
"2680",1,1,1
"2681",1,1,1
"2682",1,1,1
"2683",1,1,1
"2684",1,0,1
"2685",1,0,1
"2686",1,1,1
"2687",1,1,1
"2688",0,1,1
"2689",0,1,0
"2690",1,1,1
"2691",1,0,1
"2692",0,1,0
"2693",0,0,0
"2694",0,0,0
"2695",1,0,1
"2696",1,1,1
"2697",1,1,1
"2698",0,1,0
"2699",1,0,0
"2700",0,1,0
"2701",1,0,1
"2702",0,1,0
"2703",1,0,0
"2704",1,0,1
"2705",1,0,1
"2706",0,0,0
"2707",1,0,1
"2708",1,1,1
"2709",1,1,1
"2710",0,1,1
"2711",1,1,1
"2712",1,1,1
"2713",1,0,1
"2714",1,1,1
"2715",1,1,0
"2716",0,1,1
"2717",0,1,1
"2718",0,0,0
"2719",0,0,0
"2720",0,1,1
"2721",0,0,1
"2722",1,1,1
"2723",1,1,1
"2724",1,0,1
"2725",1,1,1
"2726",1,1,1
"2727",1,1,1
"2728",1,1,1
"2729",1,1,1
"2730",1,1,1
"2731",0,0,0
"2732",1,1,1
"2733",0,0,0
"2734",1,1,1
"2735",0,0,0
"2736",1,1,1
"2737",0,0,0
"2738",0,0,0
"2739",1,1,1
"2740",1,1,1
"2741",1,1,1
"2742",1,1,1
"2743",0,1,1
"2744",1,1,0
"2745",1,0,0
"2746",0,0,0
"2747",1,1,1
"2748",0,0,0
"2749",1,0,1
"2750",1,1,1
"2751",0,1,0
"2752",0,1,0
"2753",1,1,1
"2754",1,1,1
"2755",1,1,1
"2756",1,1,1
"2757",1,1,1
"2758",1,1,1
"2759",0,0,0
"2760",1,1,1
"2761",1,1,1
"2762",0,0,0
"2763",0,0,0
"2764",0,1,1
"2765",0,0,0
"2766",0,0,0
"2767",0,0,0
"2768",1,1,1
"2769",0,0,0
"2770",1,1,1
"2771",1,0,0
"2772",1,1,1
"2773",1,0,1
"2774",0,0,0
"2775",1,1,1
"2776",0,1,0
"2777",0,0,0
"2778",0,1,1
"2779",1,1,1
"2780",0,0,0
"2781",1,1,1
"2782",1,0,0
"2783",1,1,1
"2784",1,1,1
"2785",1,1,1
"2786",0,1,1
"2787",0,0,0
"2788",1,0,1
"2789",1,1,1
"2790",0,1,1
"2791",1,0,1
"2792",1,1,1
"2793",1,1,0
"2794",1,1,1
"2795",0,0,0
"2796",1,1,1
"2797",1,1,1
"2798",0,0,0
"2799",1,1,1
"2800",1,1,1
"2801",1,1,1
"2802",1,1,1
"2803",1,1,1
"2804",0,0,0
"2805",1,0,0
"2806",1,1,1
"2807",1,1,1
"2808",1,0,0
"2809",0,0,0
"2810",1,1,1
"2811",1,0,1
"2812",0,1,1
"2813",1,0,1
"2814",1,1,1
"2815",1,0,0
"2816",1,1,1
"2817",1,1,1
"2818",1,0,0
"2819",0,1,1
"2820",1,1,1
"2821",0,1,1
"2822",1,1,1
"2823",0,0,0
"2824",1,0,0
"2825",0,0,0
"2826",0,0,0
"2827",0,1,1
"2828",0,1,0
"2829",1,1,1
"2830",1,1,1
"2831",0,0,0
"2832",1,1,1
"2833",0,0,0
"2834",1,0,1
"2835",1,1,1
"2836",1,1,1
"2837",1,0,1
"2838",1,1,1
"2839",1,0,1
"2840",1,0,1
"2841",1,1,1
"2842",1,1,1
"2843",0,1,0
"2844",1,1,1
"2845",0,1,1
"2846",0,0,0
"2847",1,1,1
"2848",0,0,0
"2849",0,0,1
"2850",1,1,1
"2851",0,0,0
"2852",0,1,0
"2853",1,1,1
"2854",1,0,1
"2855",1,1,1
"2856",1,1,1
"2857",1,1,1
"2858",1,0,1
"2859",0,0,0
"2860",1,0,0
"2861",0,0,0
"2862",1,0,0
"2863",0,0,0
"2864",0,1,1
"2865",0,0,0
"2866",0,1,1
"2867",1,1,1
"2868",0,1,1
"2869",1,1,1
"2870",1,1,1
"2871",1,1,1
"2872",0,0,0
"2873",1,0,1
"2874",0,1,1
"2875",1,1,1
"2876",1,1,1
"2877",1,1,1
"2878",1,1,0
"2879",0,1,1
"2880",1,1,1
"2881",0,0,0
"2882",1,0,1
"2883",1,0,0
"2884",1,1,1
"2885",0,1,1
"2886",1,1,1
"2887",0,0,0
"2888",0,0,0
"2889",1,0,1
"2890",1,1,1
"2891",1,0,0
"2892",0,1,1
"2893",0,0,0
"2894",1,0,1
"2895",0,1,1
"2896",1,1,1
"2897",0,0,0
